"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
"PEPSI BOTTLE-300ML",43719318,,0,
ROYCO,47169849,,3,
"PAPER SERVIETTE",60113992,,6,
"TOOTH PICKS HYGIENE",98386307,,6,
"HAND WASH",10942279,,5,
"SODA PLASTIC-2LTR",90739224,,0,
"WASHING POWDER",75708052,,1,
"SODA PLASTIC-1.25LTR",12628030,,0,
"BAR SOAP",18312955,,7,
"LIQUID SOAP",72434210,,4,
"STEEL WOOL",69208191,,3,
SUPERBRITE,30860601,,3,
CHARCOAL,87391463,,6,
SODA-500ML,32896019,,2,
"DRY FIREWOOD******",43246510,,1,
SODA-350ML,47496295,,0,
"GAS REFILL",23854879,,6,
SODA-300ML,75617233,,6,
MILK,22350910,,12,
"TEA LEAVES",20371299,,3,
DASANI-1LTR,73126405,,2,
COFFEE,49039057,,0,
CHOCOLATE,09248731,,0,
MILO,93702135,,0,
PLANET-500ML,41615513,,2,
NDUMA,48921122,,-1,
DASANI-500ML,00536231,,3,
"ASSORTED JUICES",22845149,,18,
"SWEET POTATOES",33602529,,-1,
"SAUSAGES 22PCS",99412331,,3,
BLUEBAND,56573860,,24,
EGGS,04918311,,50,
SUGAR,71018549,,72,
